mem,ram_pct,ram_mem
35.1,35.2,167.69298432
35.2,35.3,168.1299456
35.3,35.4,168.216907776
35.4,35.3,168.094875648
35.3,35.4,168.21260288
35.4,35.4,168.338362368
35.4,35.3,167.889211392
35.3,35.2,167.393394688
35.2,35.1,167.130038272
35.1,34.8,165.403078656
34.8,34.7,164.995661824
34.7,34.7,165.169934336
34.7,34.7,165.239742464
34.7,34.8,165.530759168
34.8,34.8,165.697339392
34.8,34.8,165.685362688
34.8,34.8,165.71568128
34.8,34.8,165.70748928
34.8,34.9,165.772562432
34.9,34.8,165.56290048
34.8,34.8,165.459369984
34.8,34.8,165.5261184
34.8,34.8,165.44720896
34.8,34.8,165.467230208
34.8,34.8,165.496786944
34.8,34.8,165.570297856
34.8,34.8,165.608001536
34.8,34.8,165.597315072
34.8,34.8,165.677023232
34.8,34.8,165.694640128
34.8,34.9,165.854957568
34.9,34.9,165.996118016
34.9,34.9,165.930381312
34.9,34.9,166.133121024
34.9,34.9,166.080606208
34.9,34.9,166.178455552
34.9,34.9,166.245289984
34.9,34.9,166.18620928
34.9,35.0,166.27941376
35.0,35.0,166.495072256
35.0,35.0,166.39977472
35.0,35.0,166.488981504
35.0,35.0,166.599049216
35.0,35.1,166.789824512
35.1,35.1,167.095017472
35.1,35.1,167.206187008
35.1,35.1,166.83196416
35.1,35.0,166.671241216
35.0,35.1,166.987075584
35.1,35.1,167.152672768
35.1,35.1,166.81334784
35.1,35.1,166.997856256
35.1,35.1,167.151546368
35.1,35.1,167.122243584
35.1,35.2,167.382192128
35.2,35.1,166.955986944
35.1,35.0,166.630002688
35.0,35.1,166.851510272
35.1,35.1,166.945099776
35.1,35.0,166.60803584
35.0,35.0,166.689714176
35.0,35.0,166.696095744
35.0,35.0,166.739017728
35.0,35.0,166.578393088
35.0,35.1,166.851416064
35.1,35.0,166.625882112
35.0,35.1,166.902751232
35.1,35.1,166.795321344
35.1,35.1,166.812155904
35.1,35.1,166.957133824
35.1,34.9,165.923692544
34.9,34.9,165.792083968
34.9,34.8,165.658857472
34.8,34.9,165.876281344
34.9,34.9,166.187618304
34.9,35.0,166.26876416
35.0,35.0,166.370029568
35.0,35.0,166.343970816
35.0,35.0,166.338605056
35.0,35.0,166.34271744
35.0,35.0,166.372241408
35.0,35.0,166.406897664
35.0,35.0,166.535057408
35.0,35.0,166.58694144
35.0,35.0,166.481416192
35.0,35.0,166.374182912
35.0,35.0,166.423105536
35.0,35.0,166.555222016
35.0,35.0,166.634573824
35.0,35.0,166.710972416
35.0,34.8,165.419675648
34.8,34.7,165.140332544
34.7,34.7,165.2048896
34.7,34.7,165.254807552
34.7,34.8,165.352882176
34.8,34.7,165.301428224
34.7,34.8,165.419573248
34.8,34.8,165.515804672
34.8,34.8,165.4140928
34.8,34.8,165.410594816
34.8,34.8,165.46762752
34.8,34.8,165.322190848
34.8,34.8,165.41970432
34.8,34.8,165.558665216
34.8,34.8,165.701455872
34.8,34.9,165.831708672
34.9,34.9,165.909446656
34.9,34.9,165.918621696
34.9,34.9,165.84022016
34.9,34.9,165.896445952
34.9,34.9,165.983084544
34.9,34.9,166.128058368
34.9,34.9,166.18911744
34.9,34.9,166.25989632
34.9,35.0,166.300766208
35.0,35.0,166.558769152
